index,task,first_method,second_method,param2,third_method,param3,Full_API
59,"assign the incident severity level  to ""high"".",assign,severity,incident,high,na,set.severity(incident).high
60,"assign the incident severity level  to ""critical"".",assign,severity,incident,critical,na,set.severity(incident).critical
61,get host information from crowdstrike falcon host,get,information,host,host,crowdstrike.falcon,retrieve.information(host).host(crowdstrike.falcon)
62,get crowdstrike device id,get,device,crowdstrike,na,na,retrieve.tool(crowdstrike)
63,send file to cuckoo,send,file,na,cuckoo,na,send.file.cuckoo
64,verify the playbook input includes at least one cve id to enrich.,verify,input,playbook,cve,id,verify.input(playbook).cve
65,"retrieve cve information from ""cve search"".",retrieve,information,cve,search,cve,retrieve.information(cve).search
66,retrieve cve information from xfe.,retrieve,information,cve,xfe,na,retrieve.information(cve).xfe
67,retrieve cve reputation using one or more integrations.,retrieve,reputation,cve,integration,na,retrieve.reputation(cve).integration
68,add the relevant endpoint to the system,add,endpoint,relevant,system,na,enrich.endpoint(relevant).system
69,get hardware details from endpoint,get,detail,hardware,endpoint,na,retrieve.report.endpoint
70,dump the file to the war room,dump,file,na,room,war,send.file.room(war)
71,"create a phishing classifier using machine learning technique, based on email content",create,classifier,phishing,technique,machine learning,creat.classifier(phishe).technique(machine learning)
72,parse email with splunk,parse,email,na,splunk,na,parse.email.splunk
73,parse email with nexpose,parse,email,na,nexpose,na,parse.email.nexpose
74,parse email with sentinelone,parse,email,na,sentinelone,na,parse.email.sentinelone
75,classify incident with qradar,classify,incident,na,qradar,na,categorise.incident.qradar
76,prints report to war room,print,report,na,room,war,print.report.room(war)
77,classify incident with vectra,classify,incident,na,vectra,na,categorise.incident.vectra
78,classify incident with trendmicro,classify,incident,na,trendmicro,na,categorise.incident.trendmicro
79,close the current incident,close,incident,current,na,na,close.incident
80,send an alert to the csirt slack channel,send,alert,na,channel,csirt.slack,send.alert.channel(csirt.slack)
81,send an sms alert using twilio.,send,alert,sms,twilio,na,send.alert(sms).twilio
82,auto-close this incident,close,incident,na,na,na,close.incident
83,detonate the file in available sandboxes.,detonate,file,na,sandbox,available,detonate.file.sandbox(available)
84,detonates a file using anyrun,detonate,file,na,anyrun,na,detonate.file.anyrun
85,submit a file for analysis.,submit,file,na,analysis,na,send.file.analysis
86,submit url for analysis.,submit,url,na,analysis,na,send.url.analysis
87,get the report for a task created for a submitted file or url.,get,report,na,task,na,retrieve.report.task
88,download the pdf report to the war room.,download,report,pdf,room,war,download.report(pdf).room(war)
89,set the file object into context.,set,object,file,context,na,set.object(file).context
90,submits a sample to crowdstrike,submit,sample,na,crowdstrike,na,send.sample.crowdstrike
91,initiated the generic polling playbook that will do the polling command,initiate,playbook,generic.polling,na,na,set.playbook(generic.polling)
92,detonate the file in crowdstrike falcon sandbox.,detonate,file,na,sandbox,crowdstrike.falcon,detonate.file.sandbox(crowdstrike.falcon)
93,submits a sample to fireeye ax,submit,sample,na,ax,fireEye,send.sample.ax(fireeye)
94,retrieve result data upon a file.,retrieve,result,na,file,na,retrieve.result.file
95,upload sample to crowdstrike,upload,sample,na,crowdstrike,na,send.sample.crowdstrike
96,upload sample to sandbox,upload,sample,na,sandbox,na,send.sample.sandbox
97,detonates a url using the mcafee advanced threat defense sandbox integration.,detonate,url,na,sandbox,mcafee.advanced.threat.defence,detonate.url.sanbox(mcafee.advanced.threat.defence)
98,detonates one or more urls using the joe security sandbox integration.,detonate,url,na,sandbox,joe.security,detonate.url.sanbox(joe.security)
99,detonates a url using the mcafee advanced threat defense sandbox integration.,detonate,url,na,integration,sandbox.mcafee.advanced.threat.defence,detonate.url.integration(sandbox.mcafee.advanced.threat.defence)
100,detonates one or more urls using the joe security sandbox integration.,detonate,url,na,integration,sandbox.joe.security,detonate.url.integration(sandbox.joe.security)
101,detonates one or more files using joe sandbox integration.,detonate,file,na,integration,sandbox.joe.security,detonate.file.integration(sandbox.joe.security)
102,retrieve the report from qualys.,retrieve,report,na,qualys,na,retrieve.report.qualys
103,set the qualys reports list into context,set,report,qualys,context,na,set.report.qualys(context)
104,create list of blacklisted hash,create,list,na,hash,blacklist,create.list.hash(blacklist)
105,returns a list of blacklisted hashes,return,list,na,hash,blacklist,send.list.hash(blacklist)
106,checks the md5 on the blacklist.,check,md5,na,blacklist ,na,verify.md5.blacklist()
107,checks for md5 input field.,check,field,md5.input,na,na,verify.field(md5.input)
108,blocks malicious usernames using all integrations,block,username,malicious,na,na,block.username(malicious)
109,retrieve Ips address from repository into the incident context,retrieve,address,ips,repository,na,retrieve.address(IP).repository
110,retrive UTLs from repository into the incident context,retrieve,url,na,repository,na,retrieve.URL.repository
111,retrieve domain from repository into the incident context,retrieve,domain,na,repository,na,retrieve.domain.repository
112,review domains  using all reputation sources,review,domain,na,souce,reputation,verify.domain.source(reputation)
113,block access to the compromised user account,block,access,na,account,compromise.user,block.access.account(compromise.user)
114,initiates a re-scan of a domain that was already scanned.,initiate,scan,na,domain,na,set.scan().domain
115,get the issues located under the provided domain.,get,issue,na,domain,na,retrieve.issue.domain
116,retrieves a report for leaked credentials.,retrieve,report,na,credential,leaked,retrieve.report.credential(leaked)
117,checks vulnerabilities of reported application,check,vulnerability,na,application,report,verify.vulnerability.application(reported)
118,retrieves a report for application vulnerabilities.,retrieve,report,na,vulnerability,application,retrieve.report.vulnerability(application)
119,retrieves a report for exposed network services.,retrieve,report,na,service,expose.network,retrieve.report.service(expose.network)
120,returns a severity level from the investigation,return,level,severity,investigation,na,send.level(severity)
121,returns a list of device ids on which an indicator ran,return,list,na,id ,device,send.list().id
122,check for active instance,check,instance,active,na,na,verify.instance(active)
123,send file to cuckoo,send,file,na,cuckoo,na,send.file.cuckoo
124,get task report,get,report,na,task,na,retrieve.task.report
125,get screenshots from the machine running the file,get,screenshot,na,machine,run.file,retrieve.screenshot.machine((run.file))
126,check for url,check,url,na,na,na,verify.URL
127,create task from url,create,task,na,url,na,create.task.URL
128,create a phishing classifier,create,classifier,phishing,na,na,create.classifier(phishing)
129,upload file for analysis,upload,file,na,analysis,na,send.file.analysis
130,check submissions status,check,submission,na,status,na,verify.submission.status
131,uploads a file to wildfire for analysis.,upload,file,na,wildfire,na,send.file.wildfire
132,create a file from url,create,file,na,url,na,create.file.URL
133,gets host information from mcafee epolicy orchestrator.,get,information,host,orchestrator,mcafee. epolicy,retrieve.information(host).orchestrator(mcafee.Policy)
134,gets host information from carbonblack enterprise,get,information,host,enterprise,carbonblack,retrieve.information(host).enterprise(carbon.black)
135,enriches endpoints using the cylanceprotectv2 integration.,enrich,endpoint,na,integration,cylanceprotectv2,enrich.endpoint.integration(cylance.protect.v2)
136,enrich ips using one or more integrations,enrich,ips,na,integration,na,enrich.IP.integration
137,enrich url using one or more integrations,enrich,url,na,integration,na,enrich.URL.integration
138,enrich an endpoint hostname using one or more integrations,enrich,hostname,endpoint,integration,na,enrich.hostname(endpoint)
139,enrich domain using one or more integrations,enrich,domain,na,integration,na,enrich.domain.integration
140,display the diagnosis html in the war room.,display,html,diagnosis,room,war,print.html(diagnosis)
141,block Ips,block,ips,na,na,na,block.IP
142,block files,block,file,na,na,na,block.file
143,isolate compromised host from network,isolate,host,compromise,network,na,isolate.host(compromise)
144,hunt for devices accessing bad domains,hunt,device,na,domain,bad,retrieve.device.domain(bad)
145,hunt for devices running MD5,hunt,device,na,md5,na,retrieve.device.MD5
146,hunt for devices accessing SHA1,hunt,device,na,sha1,na,retrieve. Device.Sha1
147,hunt for devices accessing SHA256,hunt,device,na,sha256,na,retrieve.device.Sha235
