,id,taskid,type,name,description,scriptName ,tags,condition,scriptarguments,nexttasks,conditions
0,4,d09ed85f-25e6-481e-8529-5e74257252e6,title,Done,,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'complex': {'root': 'modules', 'filters': [[{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.brand'}, 'iscontext': True}, 'right': {'value': {'simple': 'Palo Alto Minemeld'}}, 'ignorecase': True}], [{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.state'}, 'iscontext': True}, 'right': {'value': {'simple': 'active'}}, 'ignorecase': True}]], 'accessor': 'brand'}}, 'iscontext': True}, 'ignorecase': True}]]}"
0,6,c588f1f8-6de6-40e5-8933-080fcf299252,title,Add indicator to the Miner,,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'complex': {'root': 'modules', 'filters': [[{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.brand'}, 'iscontext': True}, 'right': {'value': {'simple': 'Palo Alto Minemeld'}}, 'ignorecase': True}], [{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.state'}, 'iscontext': True}, 'right': {'value': {'simple': 'active'}}, 'ignorecase': True}]], 'accessor': 'brand'}}, 'iscontext': True}, 'ignorecase': True}]]}"
0,7,e545269b-d484-46e7-8e04-a067bc76d086,condition,Verify indicator and Miner name,"Verify that the playbook input includes the following inputs:
* MineMeld Miner
* Indicators (one or more)",,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.Indicator'}, 'iscontext': True}}], [{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.MinerName'}, 'iscontext': True}}]]}"
0,8,9209143b-1ebc-409a-8de7-c5c45dcd561f,regular,Add indicator to Miner,Add Indictor to the MineMeld Miner.,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.Indicator'}, 'iscontext': True}}], [{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.MinerName'}, 'iscontext': True}}]]}"
0,0,438120e9-1d87-4bf5-8b48-1000633050e3,start,,start,,,,,,
0,2,474e6e86-127d-46e3-8a9e-9efee132001a,regular,archer-get-file,Downloads file from Archer to Demisto's context,,,,,,
0,0,d042890c-556f-415a-8b61-a12119407553,start,,,,,,,,
0,1,f8237bac-e860-407c-810a-1a5ce6e14802,regular,Arcsight - Get Case info,Get a specific case from ESM,,,,,,
0,2,a53d4bfb-3250-4e1f-8014-2c5d0a19e5cf,regular,Arcsight - get Event ID below the Case,Returns all case event IDs,,,,,,
0,3,b5fab90a-0f15-40ba-8233-43ed42be978c,regular,Get the Events below the Case,,,,,,,
0,4,3371774c-a2ba-4ea3-8acb-aaeeae8195f7,condition,Is FetchID set?,,,,,,,
0,5,a8d523d4-a25e-45a9-8553-fccb9b49d585,condition,Is ID label included?,,,,,,,
0,7,00fc9870-1af2-47d1-828b-24dbbd6f02cc,regular,User - please insert Arcsight Case Resource ID,,,,,,,
0,9,c2788a78-f0a8-488e-887b-428e224ceaac,title,Get case and event info,,,,,,,
0,10,65602a3e-3b1f-4134-80f1-7f056a937775,regular,Get Base Events below the top-level event,,,,,,,
0,11,29025200-cf8e-4d69-80f1-166eb6b3a034,condition,Does Case included IDs for related Events?,,,,,,,
0,12,5c12898b-66b7-4400-8ff9-f7c3632c007a,title,Done,,,,,,,
0,13,6b37cdf2-9072-49ae-848c-ea00e953a603,condition,Do we have IDs for underlying base events?,,,,,,,
0,18,ca867694-bf54-4fe8-85cd-946633455ef9,regular,Set FetchID from user input,Change the properties of an incident,,,,,,
0,19,b0d9eacc-8d9f-4345-8a1e-ac1b94c1c018,regular,Set FetchID <-- ID label,Change the properties of an incident,,,,,,
0,0,bb01d4bd-76d4-4d60-897b-d169fc413163,start,,Playbook start point,,,,,,
0,5,7c6ff621-6640-4c67-8fda-45c0fbb577ac,condition,Is ATD Available?,"Verify that there is a valid instance of McAfee ATD enabled.
",,,,,,
0,6,35ddeef4-f49f-493d-8679-80624dd4d1d8,title,End,,,,,,,
0,7,b9b463d1-6023-4afe-8a69-cdcb3de19822,condition,Is there a file to detonate?,Check if a given value exists in the context. Will return 'no' for empty empty arrays. To be used mostly with DQ and selectors.,,,,,,
0,8,626ec891-11a0-41af-8432-5e7efabe0d2b,regular,ATD - Detonate File,etonate the file in McAfee ATD,,,,,,
0,0,bb01d4bd-76d4-4d60-897b-d169fc413163,start,,Playbook start point,,,,,,
0,5,7c6ff621-6640-4c67-8fda-45c0fbb577ac,condition,Is ATD Available?,"Verify that there is a valid instance of McAfee ATD enabled.
",,,,,,
0,6,35ddeef4-f49f-493d-8679-80624dd4d1d8,title,End,,,,,,,
0,7,b9b463d1-6023-4afe-8a69-cdcb3de19822,condition,Is there a file to detonate?,Check if a given value exists in the context. Will return 'no' for empty empty arrays. To be used mostly with DQ and selectors.,,,,,,
0,8,626ec891-11a0-41af-8432-5e7efabe0d2b,regular,ATD - Detonate File,etonate the file in McAfee ATD,,,,,,
0,0,cf22dcbc-af9c-42fa-8963-205d412e6965,start,,,,,,,,
0,2,19ace356-7eb1-491e-8b42-9d755950312c,playbook,GenericPolling,"Use as a sub-playbook to block execution of the master playbook until a remote action is complete.
This playbook implements polling by continually running the command in Step #2 until the operation completes.
The remote action should have the following structure:

1. Initiate the operation.
2. Poll to check if the operation completed.
3. (optional) Get the results of the operation.",,,,,,
0,5,aa6d7b50-e89e-4046-8245-91d4e430544d,title,Done,,,,,,,
0,6,840243b7-07df-471e-8cab-7dc8080ce28c,condition,Is there a File to scan?,Look for files to detonate,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'complex': {'root': 'inputs.File', 'accessor': 'EntryID'}}, 'iscontext': True}}]]}"
0,7,03079660-b680-41d1-847d-4d667e3bc404,condition,Is BitDam enabled?,Check if integration instance is enabled,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'complex': {'root': 'modules', 'filters': [[{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.brand'}, 'iscontext': True}, 'right': {'value': {'simple': 'BitDam'}}}], [{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.state'}, 'iscontext': True}, 'right': {'value': {'simple': 'active'}}}]], 'accessor': 'brand'}}, 'iscontext': True}}]]}"
0,8,2610cf49-d119-4065-861c-c7b3a5ffd0c8,regular,BitDam Get Verdict,-,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'complex': {'root': 'modules', 'filters': [[{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.brand'}, 'iscontext': True}, 'right': {'value': {'simple': 'BitDam'}}}], [{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.state'}, 'iscontext': True}, 'right': {'value': {'simple': 'active'}}}]], 'accessor': 'brand'}}, 'iscontext': True}}]]}"
0,9,5f4539b9-bf85-42e5-8892-f12714a02869,regular,Set file to context,,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'complex': {'root': 'modules', 'filters': [[{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.brand'}, 'iscontext': True}, 'right': {'value': {'simple': 'BitDam'}}}], [{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.state'}, 'iscontext': True}, 'right': {'value': {'simple': 'active'}}}]], 'accessor': 'brand'}}, 'iscontext': True}}]]}"
0,10,699619cb-33c2-4b32-88ef-ba0844c2cddf,condition,Is File type supported?,,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'complex': {'root': 'File', 'filters': [[{'operator': 'match', 'left': {'value': {'simple': 'File.Type'}, 'iscontext': True}, 'right': {'value': {'simple': '.*(?:PDF|DOT|DOCX|DOCM|DOTX|DOTM|RTF|XLS|XLT|XLSX|XLSM|XLTX|XLTM|XLSB|XLAM|CSV|PPT|PPTX|PPTM|POTX|POTM|PPAM|PPSX|PPSM|PPS)\\b'}}, 'ignorecase': True}, {'operator': 'match', 'left': {'value': {'simple': 'File.Extension'}, 'iscontext': True}, 'right': {'value': {'simple': '.*(?:PDF|DOT|DOCX|DOCM|DOTX|DOTM|RTF|XLS|XLT|XLSX|XLSM|XLTX|XLTM|XLSB|XLAM|CSV|PPT|PPTX|PPTM|POTX|POTM|PPAM|PPSX|PPSM|PPS)\\b'}}, 'ignorecase': True}, {'operator': 'match', 'left': {'value': {'simple': 'File.Info'}, 'iscontext': True}, 'right': {'value': {'simple': '.*(?:PDF|DOT|DOCX|DOCM|DOTX|DOTM|RTF|XLS|XLT|XLSX|XLSM|XLTX|XLTM|XLSB|XLAM|CSV|PPT|PPTX|PPTM|POTX|POTM|PPAM|PPSX|PPSM|PPS)\\b'}}, 'ignorecase': True}]], 'accessor': 'EntryID'}}, 'iscontext': True}}]]}"
0,12,5e010413-b8e7-4562-8fc6-cddc2168851f,regular,BItDam Upload File,Upload a file sample to BitDam's service,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'complex': {'root': 'File', 'filters': [[{'operator': 'match', 'left': {'value': {'simple': 'File.Type'}, 'iscontext': True}, 'right': {'value': {'simple': '.*(?:PDF|DOT|DOCX|DOCM|DOTX|DOTM|RTF|XLS|XLT|XLSX|XLSM|XLTX|XLTM|XLSB|XLAM|CSV|PPT|PPTX|PPTM|POTX|POTM|PPAM|PPSX|PPSM|PPS)\\b'}}, 'ignorecase': True}, {'operator': 'match', 'left': {'value': {'simple': 'File.Extension'}, 'iscontext': True}, 'right': {'value': {'simple': '.*(?:PDF|DOT|DOCX|DOCM|DOTX|DOTM|RTF|XLS|XLT|XLSX|XLSM|XLTX|XLTM|XLSB|XLAM|CSV|PPT|PPTX|PPTM|POTX|POTM|PPAM|PPSX|PPSM|PPS)\\b'}}, 'ignorecase': True}, {'operator': 'match', 'left': {'value': {'simple': 'File.Info'}, 'iscontext': True}, 'right': {'value': {'simple': '.*(?:PDF|DOT|DOCX|DOCM|DOTX|DOTM|RTF|XLS|XLT|XLSX|XLSM|XLTX|XLTM|XLSB|XLAM|CSV|PPT|PPTX|PPTM|POTX|POTM|PPAM|PPSX|PPSM|PPS)\\b'}}, 'ignorecase': True}]], 'accessor': 'EntryID'}}, 'iscontext': True}}]]}"
0,0,b95110b7-ba18-42a5-87ad-c5d37915401c,start,,,,,,,,
0,2,1808d949-f921-4957-8796-7bbedd822ad9,title,Done,,,,,,,
0,5,0b958771-7e06-4239-899f-f7d133be6938,title,Block accounts,,,,,,,
0,8,2c5a17dd-e019-4e20-8f5b-4333678a26e0,condition,Is there a username to block?,Verify that the playbook input includes at least one username to block.,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}}]]}"
0,12,5da07472-33bb-451d-8562-365e05f456ec,condition,Is Active Directory enabled?,"Verify that there is a valid instance of Active Directory enabled.
",,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'complex': {'root': 'modules', 'filters': [[{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.brand'}, 'iscontext': True}, 'right': {'value': {'simple': 'activedir'}}, 'ignorecase': True}], [{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.state'}, 'iscontext': True}, 'right': {'value': {'simple': 'active'}}, 'ignorecase': True}]], 'accessor': 'brand'}}, 'iscontext': True}, 'ignorecase': True}]]}"
0,13,c8b9285e-4d21-4070-89b6-33c611531812,regular,Disable account in active directory,Disable the account using Active Directory.,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'complex': {'root': 'modules', 'filters': [[{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.brand'}, 'iscontext': True}, 'right': {'value': {'simple': 'activedir'}}, 'ignorecase': True}], [{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.state'}, 'iscontext': True}, 'right': {'value': {'simple': 'active'}}, 'ignorecase': True}]], 'accessor': 'brand'}}, 'iscontext': True}, 'ignorecase': True}]]}"
0,0,73040a0e-cca5-4197-8089-f46650317040,start,,,,,,,,
0,2,81cfb3e4-cb04-4c91-8bc7-d23980939d7e,regular,Get host information from Carbon Black Enterprise Response,Query  Carbon Black Enterprise Response for the host,,,,,,
0,3,36d3a39d-ae26-4db6-8ed5-228172276852,regular,Isolate hostname,Carbon Black Response - isolate the host,,,,,,
0,4,d35be2d6-6709-40d0-846e-dc9aef142e30,title,Done,,,,,,,
0,5,27405cc3-bf4c-4879-87ad-880b99941e9a,condition,Is Carbon Black Enterprise Response enabled?,Check if Carbon black active in the system.,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'modules', 'filters': [[{'operator': 'string.isEqual', 'left': {'value': {'simple': 'brand'}, 'iscontext': True}, 'right': {'value': {'simple': 'carbonblack'}}}], [{'operator': 'string.isEqual', 'left': {'value': {'simple': 'state'}, 'iscontext': True}, 'right': {'value': {'simple': 'active'}}}]]}}, 'iscontext': True}}]]}"
0,0,5e4385e3-76c2-48e2-80a4-c3798cdae027,start,,,,,,,,
0,1,0ee119bc-c1cf-435e-866c-69c8273f8e0d,regular,Add the MD5 to the blacklist,"Adds the MD5 hash to the blacklist in Carbon Black, which blocks the execution of files with that hash on the managed endpoints.",,,,,,
